word,explanation
裙,裙 (形声。从衣，君声。《说文》从巾。本义下裳，古代男女都有下裳)古指下裳，今专指裙子 裙，下裳也。--《说文》裙，下裳也。裙，群也，联接群幅也。--《释名》著我绣夹裙，事事四五通。--《玉台新咏·古诗为焦仲卿妻作》缃绮为下裙。--《乐府诗集·陌上桑》揽裙脱丝履。--《玉台新咏·古诗为焦仲卿妻作》出入无完裙。--唐·杜甫《石壕吏》血色罗裙翻酒污。--唐·白居易《琵琶行(并序)》又如连衣裙;连衫裙;围裙;短裙;超短裙;裙布钗荆(形容妇女服饰俭朴);裙袄(衣裤);裙门(裙子的前幅);裙刀(压衣服用裙（帬）qún裙子，裙儿，一种围在下身的服装围～子。连衣～。
禅,禅chan(形声。从示，单声。从示，表示与鬼神有关。本义古代帝王辟基祭地) 佛教语。梵语禅那之略。原指静坐默念 坐静修)禅 表示与佛教有关的事物 指禅房 禅shan(形声。从示，单声。从示的字多与鬼神祭祀有关。本义古代帝王祭地礼)同本义 禅，祭天也。--《说文》正失禅谓壇墠。--《风俗通》注除地于梁甫之阴，为墠禅 chán①佛教用语。指静坐坐～。②泛指佛教的事物～林（寺院）、～师。又见shàn。【禅定】〈宗〉佛教修行方法之一。安定而排除杂念的意思。禅定时，只能静坐，不能躺卧。认为如此能达到'明净'、'无我'的状态。俗称'坐禅'、'打坐'。【禅学】〈宗〉魏晋时期的佛学派别。偏重宗教修持，主要流行于北方◇也泛指佛学特别是禅宗一派。【禅宗】佛教的一派。以静坐默念为修行方法。据说南朝时菩提达摩来华传授禅法，经慧可、弘忍、惠能等的继承和发展，得以广泛流行。它以通俗易懂的修行方法取代其他宗派的繁琐理论，流行很广，唐宋时极盛。禅（秛）chán⒈梵文'禅那'的简称。意译为'静思'。佛教的一种修行法坐～。参～。又指有关佛教的～寺。～杖。禅（秛）shàn⒈〈古〉帝王祭地的一种迷信礼仪。⒉禅让，指帝王让位给别人尧～位于舜。舜～位于禹。
禄,禄〈名〉(形声。从示，录声。本义福气、福运)同本义 禄，福也。--《说文》福禄如茨。--《诗·小雅·瞻彼洛矣》使女受禄如天。--《仪礼·少牢馈食礼》又重之以寡君之不禄。--《国语·晋语》短折不禄。--《仪礼·曲礼》其胤维何?天被尔禄。--《诗·大雅·既醉》而后可以殿邦国，同福禄，来远人。--《左传·襄公十一年》儿已薄禄相。--《玉台新咏·古诗为焦仲卿妻作》又如禄祚(福分和寿命);禄命(古代宿命论者认为人生的盛衰，祸福、寿天、贵贱等均由天定);禄相(有禄的相的样子。旧时相术认为人的形禄lù〈古〉官吏的俸给俸～。高官 厚～。
谢,谢 (形声。从言，射声。本义向人认错道歉)同本义 自谢曰。--《战国策·赵策》长跪而谢。--《战国策·魏策》旦日不可不蚤自来谢项王。--《史记·项羽本纪》惊谢曰。--清·周容《芋老人传》又如谢咎(引咎自退;悔过;谢罪);谢错(认错赔不是);谢室(待罪之室)用言辞委婉地推辞拒绝 乃召拜黯为淮阳太守，黯伏谢不受命。--《史记·汲黯列传》谢媒人。--《玉台新咏·古诗为焦仲卿妻作》楚而谢。--唐·李朝威《柳毅传》谢客矣。--明·宗臣《报刘一丈书》谢xiè⒈感激～ ～你。感～。⒉道歉，认错～过。～罪。⒊〈古〉告诉多～后世人。⒋推辞，辞别～绝。～客。⒌衰亡，凋落新陈代～。花～花落。
谣,谣 (形声。)有章句曰歌，无章曲曰谣。--《韩诗章句》辨妖祥于谣。--《国语·晋语》其歌声比余谣。--《书·大传》西王母为王谣。--《列子·周穆王》心之忧矣，我歌且谣。--《诗·魏风·园有桃》谣 流言 众女嫉余之娥眉兮，谣诼谓余以善淫。--《楚辞·离骚》又如谣诱(花言巧语，诱人上当)行歌，乐曲 吾闻文、成之世，童谣有之。--《左传·昭公二十五年》好为庐山谣。--李白《庐山谣》又如谣曲(谣言。风谣，歌谣);民谣;童谣谣yáo⒈不用伴奏的韵语、歌词童～。民～。歌～。⒉凭空捏造的话，没有根据的传说～言（〈古〉又指民间流行的歌谣谚语）。～传。造～。传～。信～。辟～。
谤,谤 (形声兼会意。从言，旁声。本义在背后公开地议论或批评某人的短处)同本义 谤，毁也。--《说文》。按，谤者道人之实，事与诬谮不同。大言曰谤，小言曰诽，曰讥。厉王虐，国人谤王。--《国语·周语上》有能谤讥于市朝。--《战国策·齐策》以致天下怨谤也。--宋·王安石《答司马谏议书》又如谤书(攻击别人或揭发别人隐私的文书;亦专指《史记》)诽谤 信而见疑，忠而被谤，能无怨乎?--《史记·屈原贾生列传》是故事修而谤兴。--唐·韩愈《原毁》又如谤言(公开指责他人的话。同谤 bàng①公开指责别人的过失厉王虐，国人～王。（《国语·周语上》）②诽谤～书（诽谤人的信件或书籍）。
谦,谦 (形声。从言，兼声。本义谦虚，谦逊) 同本义 谦，敬也。--《说文》。按，侧重于内心上的恭顺谨慎。谦，逊让也。--《玉篇》谦也者，致恭以存其位者也。又，谦者，德之柄也。--《易·系辞》谦谦君子，用涉大川。--《易·谦》皆谦而礼交之。--《史记·魏公子列传》谦得益。--宋·欧阳修《新五代史·伶官传(序)》非苟为谦。--清·刘开《问说》又如谦洽(谦虚和蔼);谦光(虽谦抑而辉光益显);谦冲(谦虚);谦克(谦逊自制);谦厚(谦逊温厚)谦 通'嫌'。嫌疑 贵而不为谦qiān虚心，不自满～虚。～逊。～让。～恭。～受益。谦qiè 1.满足;快意。
犀,犀 犀牛 犀，南徼外牛，一角在鼻，一角在顶，似豕，从牛，尾声。--《说文》犀，似水牛，猪头，大腹，庳脚，脚有三蹄，黑色，三角，一顶上，一额上，一鼻上，鼻上者即食角也。小而不椭，好食棘，亦有一角者。--《尔雅》郭注水犀之甲。--《国语·越语》。注’今徼外所送，有山犀、有水犀。水犀之皮有珠甲，山犀则无。黄支国献犀牛。--《汉书·平帝纪》正南以文献为献。--《周书·王会篇》。按，犀角搅汤解诸毒药。荆有云梦，犀兕麋鹿满之。--《墨子·公输》又如犀牛望月(形容长久盼望);犀分(划分。古代传说有水兽名水犀，犀xī⒈，又可做器物。⒉坚固～利。⒊
属,属shu(形声。从尾，蜀声。尾与身体相连。①本义连接。②类，族)种类。亦特指牲类 忠之属也，可以一战。--《左传·庄公十年》土地平旷，屋舍俨然，有良田美池桑竹之属。--晋·陶渊明《桃花源记》又如金属;属禽(分别飞禽的种类)亲属 是疾易传染，遘者虽戚属，不敢同卧起。--清·方苞《狱中杂记》又如家属(户主外的家庭成员);军属;眷属;属从(指按亲属关系而从其丧服);属党(亲属);属姓(同宗);属疏(宗族关系疏远)侪辈。指同一类人 若属皆且为所属（屬）shǔ⒈类，同一类型的种～。金～。非金～。⒉同一家族的亲～。家～。⒊有管辖关系的直～。隶～。归～。附～。⒋是事～可行。经查～实。⒌归类～于医学。⒍为谁所有那支笔～你的。⒎属（屬）zhǔ⒈连接，跟着前后相～。⒉编写，连缀～文。～辞。⒊专注～意。～望。
屡,屡（屢）lǚ多次～次。～见不鲜。～战～胜。～禁不止。
强,强 (形声。从虫，弘声。本义米中小虫)同本义 通襁。襁褓 成王少在强葆之中。--《史记·鲁周公世家》强 (通彊。弱的反义词)弓有力 彊，弓有力也。--《说文》强，健也。--《广韵》材官引彊。--《史记·绛侯世家》强弩之末。--《汉书·李广苏建传》又如强弩(用机括发射的强弓)强盛;势力大 不可谓强。--《墨子·公输》兵革之强。--《战国策·秦策》天下强国无过齐者。--《战国策·齐策》自胜者强。--《强（強、彊）、犟（勥）jiàng不屈，任性，固执倔～。脾气～。别～嘴嘛。'强'另见qiáng。强（強、彊）qiǎng⒈硬要，迫使～词夺理。～迫命令。⒉尽力，竭力，勉强～谏（谏规劝）。～人所难。强（強、彊）qiáng ⒈健壮，有力，跟'弱'相对～健。～壮。～大。～盛。挽弓当挽～。⒉增多，加固增～。加～。～本而节用，则天不能贫（本指农业）。⒊好，程度高今年生活比往年～。～将手下无弱兵。工作能力～。⒋有余，略多百分之三十～。⒌凶狠～横。～暴。⒍⒎⒏①坚决，剧烈～烈抗议。②鲜明的，程度很深的～烈的阳光。强qiāng 1.见'强水'。强jiāng 1.见'强强'。 2.通'僵'。毙，死。 3.通'僵'。僵硬，不灵活。 4.通'疆'。
粥,粥〈动〉yu同鬻。卖 则使其贾粥之。--《周礼·巫马》不粥祭器。--《礼记·曲礼下》田里不粥。--《礼记·王制》又戎器不粥于市。又如粥画(卖画的)养育 初俊羔助厥母粥。俊也者大也，粥也者养也。--《大戴礼记》嫁出 请粥庶弟之母。--《礼记》。郑玄注粥，谓嫁之也。粥zhou(形声。字本作鬻。从鬻(古文鬲字)，米声。鬲，古烹饪器。本义稀饭) 同本义 粥，驙也。--《广雅》驙粥之食。--《礼记·檀弓》。疏厚曰驙，稀曰粥。粥zhōu⒈稀饭，粮食煮成的半流质食品喝～。八宝～。⒉〈古〉通'鬻'。卖。粥yù 1.同'鬻'。卖。 2.通'育'。养育;生育。 3.出。 4.见'粥粥'。 5.姓。春秋楚有粥拳。见《汉书·古今人表》。
疏,疏 (会意。疋有通的意思。本义疏导，开通)同本义 疏，通也。--《说文》。疋者，破包足动也。孕则塞，生则通。因转注为开通分远之谊，俗字作痚，故汉疏广之后，隐其半为束氏。疏为川谷，以导其气。--《国语·周语》。注通也。禹疏九河。--《孟子·滕文公上》疏为川渎、沟洫、陂池。--《柳宗元《天说》水之利害，自古而然。禹疏沟洫，随山浚川。--《史记·河渠书赞》又如疏决(疏浚;开通);疏漏(漏水);疏源(疏通水源);疏瀹(疏浚，疏通);疏辟(疏通开浚);疏涤(疏浚清理;疏通清除);疏治(疏通治理);疏凿(打通阻塞疏shū⒈去掉阻塞，使畅通～通。～导。～河道。⒉分，分散～队。～散。⒊稀，不密稀～。～星。～落。⒋不亲密～远。⒌粗～食。⒍粗心，不周密～忽。～漏。⒎不熟悉生～。⒏空虚，不实空～。才～学浅。⒐注释古文并对前人的注释加以引申或说明～证。注～。⒑分条陈述。旧时又指给皇帝的奏议奏～。疏shù 1.分条记录或分条陈述。 2.奏章。 3.指上奏章。 4.指阐释经书及其旧注的文字。 5.引申为阐释。 6.指书信。 7.僧道拜忏时所焚化的祈祷文。 8.旧时募化用的簿册。 9.指捐款。
隔,隔 (形声。从阜，鬲声。从阜，表示与地势高低上下有关。本义阻隔、遮断)同本义 隔，障也。--《说文》右有陇坻之隘，隔阂华戎。--《文选·张衡·西京赋》隔篁竹，闻水声，如鸣佩环。--唐·柳宗元《至小丘西小石潭记》又如把一间房隔成两间;隔越(阻隔，隔绝);隔碍(阻隔。即隔越)间隔;距离 隔了七八年，虽模样儿出脱的齐整，然大段未改，所以认得。--《红楼梦》又如隔涉(远隔);隔三差五(每隔不长;时常);隔岸(河的对岸);隔了这么多隔gé⒈拦断，互不接触，分开～离。～开。～靴搔痒（〈喻〉不中肯，不贴切，徒劳无功）。⒉相间，距离～墙。间～。相～十里。⒊①不知晓，外行这项技术，我实在～膜。②也作［隔阂］。彼此之间情意不通，各人心中存有意见他俩有～阂。③也作⒋ 隔jī 1.敲击。
隙,隙 (会意。从阜亦声。阜，土山，与土有关。本义墙上开裂的裂缝)同本义。也泛指孔穴、空隙 隙，壁际孔也。--《说文》隙，裂也。--《广雅》墙之隙坏，谁之咎也。--《左传》若驷之过隙。--《礼记·三年问》二间夹钟出四隙之细也。--《国语·周语下》柳每以暇日隙壁窥韩(韩翃)所居，即萧然葭艾，闻客至，必名人。--唐·孟棨《本事诗》谚曰蠹众而木折，隙大而墙坏。--《商君书·修权》又如裂隙;罅隙;隙穴(空隙与洞穴);隙地(空地);隙积(带有空隙垛体的体积)空子 辅隙则国隙、鄐xì⒈裂缝缝～。墙～。⒉感情上的裂痕有～。嫌～。⒊孔，漏洞，空子，机会石～。洞～。伺～。乘～。⒋空，空闲～地。农～（农村空闲之时）。
隘,隘 (形声。籀文从阜，益声。阜，土山，从阜的字多与地势有关。本义狭窄;狭小)同本义隘，陋也。--《说文》君子以为隘矣。--《礼记·礼器》。注狭陋也。相逢狭路间，道隘不容车。--《古诗十九首》诞置之隘巷，牛间腓字之。--《诗·大雅·生民》引申为心胸狭窄伯夷隘，柳下惠不恭。--《孟子·公孙丑上》或言其太隘。--宋·司马光《训俭示康》又此为宰相听事诚隘。又如狭隘(宽度小; 隘 险要的通道隘ài⒈险要的地方要～。险～。⒉狭窄。狭小～道。此人气量狭～。隘è 1.阻止。 2.隔绝。 3.限制;控制。 4.引申为隐瞒。
媒,媒 (形声。从女，某声。本义婚姻介绍人，媒人)同本义 媒，谋也。谋合二姓。--《说文》匪我愆期，子无良媒。--《诗·卫风·氓》不待父母之命，媒妁之言，钻穴隙相窥，逾墙相从。--《孟子·滕文公下》县令遣媒来。--《玉台新咏·古诗为焦仲卿妻作》又如媒人婆迷了路儿，没的说了(做媒的迷了路，没有说合对象了);媒人婆拾马粪，越发越晒(说媒人不怕碰钉子，面皮就像马粪那样，越碰钉子越厚);媒红(酬谢媒人的布帛之类的彩礼);媒钱(酬谢媒人的彩礼);媒伯(婚姻介绍人);媒姥(媒妇，媒妪，媒媪，媒妈妈，媒婆)媒介媒méi⒈撮合男女婚事做～。～人。⒉媒mèi 1.见'媒媒'。
絮,絮 (形声。从糸，如声。本义粗丝绵)同本义 絮，敝绵也。--《说文》。按，好者为绵，恶者为絮。絮三斤。--《汉书·高帝纪》。古无木绵，以絮纳袷中，谓之装褚，曰袍。剖其中，干若败絮。--明·刘基《卖柑者言》败絮其中。又如絮衣(绵衣);絮缯(丝帛之类的总称)经过弹制的棉花胎 他们的婴孩没有棉衣，只好成天躺在土炕上那一堆破絮里。--茅盾《战时景气宠儿--宝鸡》又如絮帛(棉絮与布帛);絮棉;絮缕(棉絮与丝缕。泛指微细之物)像絮一样轻柔、洁白的东西 絮xù⒈粗丝棉，棉花的纤维～衣。吐～。棉～。⒉像絮的东西芦～。杨花飞～。⒊在衣被等内面铺絮～被子。一夜～征袍。⒋连续重复，令人厌烦～语。～烦。～叨（话多，唠叨）。絮chù 1.调拌;调制。絮nǜ 1.姓『有絮舜。见《汉书．张敞传》。
嫂,嫂〈名〉(形声。从女，叟声。本义兄之妻)同本义 嫂，兄妻也。--《说文》女子谓兄之妻为嫂。--《尔雅》是嫂亦可谓之母乎?--《礼记太传》兄弟嫂妹妻妾皆窃笑之。--《史记·苏秦列传》又如表嫂;大嫂;嫂溺叔援(变通;权变。古时男女授受不亲，有人问孟子阿嫂落水该不该救孟子说应该。男女授爱不亲是经，伸手救援是权。必要时要从权◇人遂称经权达变)对年纪较大的已婚妇女的敬称 嫂sǎo⒈哥哥的妻子～子∶～ ～。⒉泛称已婚的妇女大～。
媚,媚 (形声。从女，眉声。眉也有示意作用，表示以目媚人。本义爱;喜爱)同本义 媚，说也。--《说文》思媚周姜。--《诗·大雅·思齐》。传爱也。媚兹一人。--《诗·大雅·下武》又如媚子(所爱之人;爱子);媚好(爱悦);媚靥(女子两颊讨人喜欢的酒窝)逢迎取悦 人服媚之如是。--《左传·宣公三年》若是乃能媚于神。--《国语·周语》吴音相媚好。--宋·辛弃疾《清平乐·村居》自媚于众。--宋·王安石《答司马谏议书》欲媚上官。--《聊斋志异·促织》甘言媚mèi⒈美好，可爱妩～。春光明～。⒉讨好，巴结，奉承谄～。～颜。～骨。崇洋～外。
婿,婿 (形声。从女，胥声。或作壻。本义古时女子称夫为婿)同本义 壻，夫也。--《说文》女子之夫为壻。--《尔雅》壻执雁入。--《礼记·昏义》壻御轮三周。--《诗·有女同车》笺赵有侧室曰穿，晋君之壻也。--《左传·文公十二年》东房少妇婿从军，每听乌啼知夜分。--李瑞《乌栖曲》汉贵将独有奉车都尉，天子姊婿，爵为通侯，当先降之。--《后汉书》若是姻缘早，把风流婿招，少什么美夫妻图画在碧云高。--汤显祖《牡丹亭·写真》又如夫婿(丈夫)成年男子的美称 桓温有婿（壻）xù⒈女儿的丈夫女～。⒉妇人称自己的丈夫夫～。
登,登 (象形。本义上车)同本义 登，上车也。--《说文》登，陞也。--《尔雅》登车则有光矣。--《礼记·玉藻》登轼而望之。--《左传·庄公十年》升，上，从下而上 登席不由前。--《礼记·玉藻》。注升也。欲释阶而登天兮。--《楚辞·惜诵》。注上也。诞上登于岸。--《诗·大雅·皇矣》登斯楼也。--宋·范仲淹《岳阳楼记》从人四五百，郁郁登郡门。--《玉台新咏·古诗为焦仲卿妻作》又如捷足先登;登宝(登基;帝王即位);登筵(登上筵席);登平(上升);登仙(声名登 dēng①由低处到高处（多指人步行）～山、攀～。②刊登；记载～报、～记。③（谷物）成熟五谷丰～。④踩；踏～在桌上钉画片。⑤腿脚向下用力～自行车。【登峰造极】比喻学问、技艺等达到很高水平。也比喻达到极点。造到。【登基】帝王即位。【登极】同'登基'。极北极星，古人认为众星环绕，因此用来比喻王位的至尊。【登科】古代科举考试应考人被录取。【登陆舰】运送登陆兵和武器装备到敌岸登陆的军舰。分大型和中型。排水量800-8000吨，航速12-20节，船底平，吃水浅，能在无停靠设备，适于登陆的岸滩登陆。【登陆舰船】见【两栖舰船】。【登山运动】攀登山的顶峰的运动。运动员需具坚强的意志、体质和一定的技术，在严寒和缺氧的情况下攀登高山。对科学研究、资源开发和国防建设也有一定意义。【登堂入室】见【升堂入室】。【登月舱】为运载宇航员离开指令舱到月球表面活动并返回而设计的一种航天器的舱。登dèng 1.通'凳'。 2.通'墱'。石级。登dé 1.取得;获得。
缅,缅 (形声。从糸，面声。本义微丝)同本义 缅，微丝也。--《说文》缅甸的简称 缅 遥远 举下缅也。--《谷梁传·庄公三年》缅然引领南望。--《国语·楚语》又如缅然(遥远的样子);缅求(远求);缅渺(遥远的样子);缅远(久远;辽远;遥远);缅迈(远行)尽貌 冀阙缅其堙尽。--潘岳《西征赋》又如缅述(尽情叙说，备叙)缅miǎn遥远～想。～怀故土。
缆,缆 (形声。从糸，表示与线丝有关，览声。本义系船用的粗绳)同本义 结缆排鱼网。--杜甫《舟中》又如新船砍缆下水许多股绞成的粗绳 缆 拴;系 急系缆。--宋·陆游《过小孤山大孤山》又如缆舟(以索系船);缆系(用缆栓住)缆（纜）lǎn⒈系船用的粗绳或铁索船～。解～（开船）。〈引〉许多股线绞成的粗绳索电～。～车道。⒉使用绳索将船系住～船。
缉,缉 (形声。从糸，表示与线丝、缠织有关。本义绩，把麻搓成线)众妇夜缉灯烘。--宋·苏轼《次子由诗相庆》又如缉绩(纺织，编织);缉取(搓成);缉麻(绩麻);缉妇(从事纺绩的妇女)搜捕 访缉纠诘。--清·方苞《狱中杂记》又如缉听(向各处去搜集消息);缉凶(搜捕凶犯);缉擒(捉拿;缉拿);缉探人(侦察人员)继续 授几有缉御。--《诗·大雅·行苇》又如缉熙(本指逐渐达到光明，后因以指光明);缉御(侍者连续更替地侍候着);缉绪(继承传统)会合;和睦。通辑 适道已来，缉jī⒈捉拿，搜捕～拿。～获。～私。⒉见qī。缉qī⒈密针细缝法，一针对一针地缝～鞋口。⒉见jibh。缉jí 1.协调;和合。 2.收集;编辑。 3.编织;裁制。 4.理;整治。
缎,缎 (形声。从糸，段声。本义缝贴于鞋跟的革片、丝绦之类)同本义 履舄鞜襞绒缎紃。--《急就篇》一种质地厚密而有光泽的丝织物 诏赐抚臣名马衣缎。--《聊斋志异·促织》又如缎疋(缎的总称。亦泛指丝织品);缎匹(即缎疋)缎 质地厚密、一面光滑的丝织品锦～。缎duàn 1.同'?'。贴于鞋跟的革片﹑丝绦之属。 2.一种质地厚密而有光泽的丝织物。
缓,缓 (形声。从糸，爰声。本义宽松;宽大)同本义 慢;不急迫。与急相对 缓，舒也。--《广韵》夫人于事己者过急，于事人者过缓。--《战国策·卫策》民事不可缓也。--《孟子·滕文公上》又如缓缓(缓慢的样子。同徐徐);缓步代车(慢步行走以代替乘车。同安步当车);缓辔而行(信马由缰地慢走)柔软 缓huǎn⒈慢，跟'急'相对～慢。～步。～急轻重。～ ～来迟。⒉迟，推迟～期。～办。～刑。～兵之计。⒊宽松，平和已～和。～冲地带。⒋苏醒，恢复他昏过去了，刚～过来。休息一会儿，～ ～气。
缔,缔 (形声。从糸，帝声。本义结在一起)同本义 缔，结不解也。--《说文》合从缔交。--贾谊《过秦论》。注连接也。缔交翩翩。--左思《吴都赋》又如缔婚(结婚);缔生(联结而生);缔连(联结)引申为郁结 气缭转而自缔。--《楚辞》结合 订立 构造，建造 约束;限制 缔 dì结合；订立；～约。【缔结】订立（条约等）。【缔约】订立条约。【缔造】创立；建立（多指伟大的事业或重大的组织）。
缕,缕 (形声。从糸，表示与线丝有关。娄声。本义麻线)同本义 缕，线也。--《说文》。段注凡蚕者为丝，麻者为缕。麻缕丝絮轻重同，则贾相若。--《孟子·滕文公上》有布缕之征。--《孟子》。注紩铠甲之缕也。余音袅袅，不绝如缕。--苏轼《赤壁赋》或断绝众缕，绕带手腕。--《潜夫论·俘侈》又如缕綦(用线织綦);缕緕(用各色不同的线缕成其文采)泛指细而长的东西，线状物 汉氏诸陵无不发掘，乃至烧取玉匣金缕。--《三国志·文帝纪》杨柳风轻，展尽黄金缕。--冯延己《鹊踏枝》又如缕子缕（縷）lǚ⒈线千丝万～。 ⒉详尽地，一条一条地～陈。～析。⒊量词两～麻线。三～炊烟。
骗,骗 (形声。从马，扁声。本义跃而上马)跃上马背而骑乘;骑。同騗 骗，谓跃上马也。--《纂文》又如骗马(飞身上马;勾引、调戏妇女);骗石(上马或登车用的垫脚石)欺骗;哄劝 骗词(欺骗的话);骗诈(欺骗讹诈)超越;跨越 引诱，吸引 一步一回头，景象时时变。越走得崎岖，越骗得神健。--清·徐大椿《游山乐》骗piàn⒈欺蒙，说假话欺～。～人。⒉用欺骗手段谋取～取。～局。诓～。诈～犯。算命～人钱财。⒊跨过去，跳跃上去一～腿上了船。⒋
编,编 (形声。从糸)，扁声。本义顺次排列，编结在一起)同本义 编，次简也。--《说文》以绳次物曰编。--《声类》春秋编年，四时具而后为年。--《谷梁传·桓公元年》且请编之于令，永为国典。--柳宗元《驳复仇议》又如编号;编组;编队;编户(编入户籍的普通人家);编民(编入户籍的平民);编人(户籍编制之内的贫民。也称编民);编次(按顺序编排);编蒲(编订蒲叶使成册，以为书写之用)交织，编结 编结沮。--《四子讲德论》。颜注犹编发也。总编一根大辫，黑亮如漆。--《红楼梦》编辑;创作 编 biān①把细长条状物交叉地组织起来～花篮。②按一定的顺序组织排列～号、～班。③编辑～杂志。～创作（歌本、剧本等）～剧本。⑤捏造～造谎言。⑥成本的书人手一～。⑦书籍按内容划分的单位上～、下～。【编队】①将人群或运输工具等编成一定的队形。②在海军中，指两艘以上舰艇组成的战术（战役）单位。③在空军中，指由相互间保持规定距离、间隔、高度差的若干架飞机（分队）组成的战斗集体。【编户】编入户籍的平民。中国古代自商鞅变法开始，历代均把平民编入政府户籍，称编户。【编年体】我国史书的一种体裁，按年、月、日记录历史事件。如《资治通鉴》。【编磬】古代打击乐器。由16块石制或玉制的磬组成。用小木槌击奏。周代以来用于雅乐。【编译程序】能将源程序翻译成等价的目标程序的程序。电子计算机一般只执行用它自己的机器语言编写的程序，为了使用高级语言（如basic等）编写的程序（即源程序）被机器执行，必须将它译成机器语言程序。【编译员】带有编辑性质的翻译人员。【编钟】古代打击乐器。把一系列铜制的钟挂在木架上组成，用小木槌击奏。各时代形状大小不一，枚数也不相同。【编撰】编辑；编写。【编纂】编辑（多指资料多、篇幅大的著作）～词典、～名人录。
骚,骚 (形声。从马，蚤声。本义刷马)同本义 骚，摩马。--《说文》。段玉裁注人曰搔，马曰骚，其意一也。摩马，如今人之刷马。骚动;动乱骚，扰也。--《说文》。按，谓马扰动也。骚，动也。--《尔雅》徐方绎骚。--《诗·大雅·常武》南阳骚动。--《后汉书·李通传》。注骚，亦动也。九年而王室始骚。--《国语·郑语》又如骚害(骚扰，伤害);骚骚(急迫的样子);骚杀(下垂飘动的样子);骚边(骚扰边境)通搔。抓，挠，以指甲轻刮 其人坚劲，寡有疥骚，终无瘠酲。╠骚sāo⒈动乱，扰乱，不安定～动。～乱。～扰。⒉文体名，因屈原所著《离骚》而得名。～体。～人（诗人）。⒊同'臊'。一种臭味，特指狐腋臭～气。⒋①风指《诗经》里的《国风》，骚指《离骚》。泛指文学。借指才华，文采稍逊风～。②原指姿容俏丽，后多指妇女言行轻佻。骚sǎo 1.全部;尽数。骚xiāo 1.地名用字。蒲骚，春秋地名，在今湖北省应城市西北。
缘,缘 器物的边沿 低下头去把嘴唇搁在杯缘。--茅盾《蚀·追求》又如缘石(砌筑在车行道与人行道之间的长条形石块或混凝土块，用以保护人行道并使车行道的路边水流通畅);缘海(边缘海;沿海，接海);缘边(沿边。指边境)原故，理由 璞皆知其名姓及巧诈缘由。--沈约《宋书》因缘;缘分 渠会永无缘。--《玉台新咏·古诗为焦仲卿妻作》又言谈大自缘。画与书法为缘。--蔡元培《图画》又画与建缘yuán⒈边边～。外～。⒉沿着，顺着～溪行。⒊遵循，依照～法而治。⒋爬，攀附～木而上。攀～。夤～。⒌人与人的关系人～。血～。⒍宿命论者指人与人或人与事所谓'命中注定的遇合机会'～分、有～、机～等等不过是自圆其说。⒎因为，因由～故。～由。～何至此？⒏缘yuàn 1.衣服边上的镶绲;衣服的边。 2.给衣履等物镶边或绲边。
瑟,瑟〈名〉(指事。从珡，必声。本义 古代拨弦乐器。形似古琴，每弦一柱，但无征位)瑟，庖牺所作弦乐也。--《说文》大瑟小瑟。--《礼记·明堂位》大瑟谓之灑。--《尔雅》。注二十七弦。世本，疱牺作五十弦。黄帝使素女鼓瑟。哀不自胜，乃破为二十五弦。寡人窃闻赵王好音，请奏瑟。--《史记·廉颇蔺相如列传》又如调瑟(调准瑟弦的音);琴瑟(琴与瑟)古水名 瑟sè⒈拨弦乐器之一，一般有二十五根弦。⒉
鹉,见鹦鹉。鸟名鹉wǔ
瑞,瑞 (形声。从玉，聑声)声。本义玉制的符信，作凭证用)同本义 瑞，以玉为信也。--《说文》掌玉瑞器之藏。--《周礼·典瑞》。注;符信也，人执以见曰瑞。成六瑞益王所用镇圭也。--《周礼·小行人》以圭为瑞。--《礼记·礼器》司马请瑞。--《左传·哀公十四年》又如瑞珪(天子赐的作为凭信的圭玉);瑞节(玉节;瑞与节);瑞令(符命);瑞玉(玉制信物)吉祥的事物 世间谓之圣王之瑞，为圣母来矣。--《论衡·指瑞》又如瑞桢(吉祥)征兆 禹亲把天之瑞令，以征有苗。╠瑞ruì⒈迷信者所谓的'吉凶预兆'自己认为是嘉～，就是嘉～。不吉之～。特指吉兆，吉利的～气。～雪兆丰年。⒉〈古〉用作凭证的玉器。
瑰,瑰 (形声。从玉， 鬼声。本义 美玉; 美石) 同本义 瑰，攻瑰火齐也。--《说文》赤玉攻瑰。--《史记·司马相如传》何以赠之，琼瑰玉佩。--《诗·秦风·渭阳》又如瑰琼(美石;美玉);瑰瓒(美玉与不纯的玉);瑰室(玉石砌成的房子)瑰 〈形〉珍贵;珍奇 固瑰材而究奇，抗应龙之虹梁。--班固《西都赋》又如瑰艳(珍奇);瑰秘(不为世人所知的珍宝);瑰货(珍奇的物品);瑰材(珍奇的栋梁材)奇特;杰出 而世之奇伟、瑰怪、非常之观常在于险远，而人之所罕至焉。╠瑰（瓌）guī⒈奇，美，珍贵～怪。～丽。珍稀～宝。⒉一种次于玉的美石琼～玉佩（琼美玉）。
瑙,瑙(形声。从玉，卍声。双音词玛瑙) --见玛瑙瑙nǎo
